Date,Close
09/03/2016,6.892
10/03/2016,6.863
11/03/2016,6.863
14/03/2016,6.863
15/03/2016,6.872
16/03/2016,6.872
17/03/2016,6.876
18/03/2016,6.876
21/03/2016,6.872
22/03/2016,6.872
23/03/2016,6.875
24/03/2016,6.875
25/03/2016,6.875
28/03/2016,6.874
29/03/2016,6.874
30/03/2016,6.874
31/03/2016,6.868
01/04/2016,6.868
04/04/2016,6.943
05/04/2016,6.943
06/04/2016,6.943
07/04/2016,6.943
08/04/2016,6.943
11/04/2016,6.943
12/04/2016,6.943
13/04/2016,6.943
14/04/2016,6.943
15/04/2016,6.943
18/04/2016,6.943
19/04/2016,6.943
20/04/2016,6.943
21/04/2016,6.943
22/04/2016,6.943
25/04/2016,6.943
26/04/2016,6.943
27/04/2016,6.943
28/04/2016,6.943
29/04/2016,6.943
02/05/2016,6.943
03/05/2016,6.943
04/05/2016,6.943
05/05/2016,6.943
06/05/2016,6.943
09/05/2016,6.943
10/05/2016,6.943
11/05/2016,6.943
12/05/2016,6.943
13/05/2016,6.943
16/05/2016,6.943
17/05/2016,6.943
18/05/2016,6.943
19/05/2016,6.943
20/05/2016,6.943
23/05/2016,6.943
24/05/2016,6.943
25/05/2016,6.943
26/05/2016,6.943
27/05/2016,6.943
30/05/2016,6.943
31/05/2016,6.943
01/06/2016,6.943
02/06/2016,6.943
03/06/2016,6.943
06/06/2016,6.943
07/06/2016,6.943
08/06/2016,6.943
09/06/2016,6.943
10/06/2016,6.905
13/06/2016,6.904
14/06/2016,6.904
15/06/2016,6.902
16/06/2016,6.905
17/06/2016,6.906
20/06/2016,6.901
21/06/2016,6.903
22/06/2016,6.9
23/06/2016,6.901
24/06/2016,6.896
27/06/2016,6.896
28/06/2016,6.894
29/06/2016,6.897
30/06/2016,6.899
01/07/2016,6.909
04/07/2016,6.908
05/07/2016,6.908
06/07/2016,6.908
07/07/2016,6.919
08/07/2016,6.92
11/07/2016,6.938
12/07/2016,6.938
13/07/2016,6.938
14/07/2016,6.936
15/07/2016,6.936
19/07/2016,6.936
20/07/2016,6.925
21/07/2016,6.926
22/07/2016,6.926
25/07/2016,6.928
26/07/2016,6.922
27/07/2016,6.922
28/07/2016,6.92
29/07/2016,6.921
01/08/2016,6.918
02/08/2016,6.924
03/08/2016,6.929
04/08/2016,6.925
05/08/2016,6.925
06/08/2016,6.925
08/08/2016,6.924
09/08/2016,6.924
10/08/2016,6.924
11/08/2016,6.923
12/08/2016,6.921
13/08/2016,6.921
14/08/2016,6.921
15/08/2016,6.897
16/08/2016,6.892
17/08/2016,6.891
18/08/2016,6.882
19/08/2016,6.88
22/08/2016,6.88
23/08/2016,6.866
24/08/2016,6.856
25/08/2016,6.834
26/08/2016,6.836
29/08/2016,6.836
30/08/2016,6.836
31/08/2016,6.835
01/09/2016,6.834
02/09/2016,6.834
05/09/2016,6.804
06/09/2016,6.8
07/09/2016,6.791
08/09/2016,6.788
09/09/2016,6.763
12/09/2016,6.763
13/09/2016,6.763
14/09/2016,6.763
15/09/2016,6.763
16/09/2016,6.665
17/09/2016,6.665
19/09/2016,6.651
20/09/2016,6.65
21/09/2016,6.644
22/09/2016,6.553
23/09/2016,6.422
24/09/2016,6.422
25/09/2016,6.422
26/09/2016,6.415
27/09/2016,6.312
28/09/2016,6.196
29/09/2016,6.205
30/09/2016,6.218
03/10/2016,6.253
04/10/2016,6.201
05/10/2016,6.15
06/10/2016,6.022
07/10/2016,6.022
10/10/2016,5.983
11/10/2016,5.983
12/10/2016,5.996
13/10/2016,5.996
14/10/2016,6.021
15/10/2016,6.021
17/10/2016,6.045
18/10/2016,6.056
19/10/2016,6.025
20/10/2016,6.019
21/10/2016,5.992
24/10/2016,5.983
25/10/2016,5.986
26/10/2016,5.975
27/10/2016,5.973
28/10/2016,5.973
31/10/2016,5.971
01/11/2016,5.97
02/11/2016,5.97
03/11/2016,5.969
04/11/2016,5.974
07/11/2016,5.974
08/11/2016,5.997
09/11/2016,6.001
10/11/2016,6.001
11/11/2016,5.991
14/11/2016,5.995
15/11/2016,5.998
16/11/2016,6.032
17/11/2016,6.1
18/11/2016,6.097
21/11/2016,6.097
22/11/2016,6.062
23/11/2016,6.061
24/11/2016,6.06
25/11/2016,6.06
28/11/2016,6.06
29/11/2016,6.05
30/11/2016,6.046
01/12/2016,6.046
02/12/2016,6.051
05/12/2016,6.039
06/12/2016,6.039
07/12/2016,6.038
08/12/2016,6.038
09/12/2016,6.038
12/12/2016,6.048
13/12/2016,6.055
